 0,   1,   2,   3,   4,   5,   6,   7,   8,   9,  10,  11,  12,  13,  14,  15,  16,  17,  18,  19,  20,  21,  22,  23,  24,  25,  26,  27
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   2,   0,   1,   0,  16,  94,   0,   0,   2,   1,   1,   0,   1,   0
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   1,   1,   0,   0,   1,   0, 101, 196, 187,   8,   0,   0,   0,   1,   0,   0
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   1,   1,   0,   1,   0,   0, 161, 167, 166, 112,  11,   1,   0,   0,   6,   0
 0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   3,   0, 121, 213, 187, 183, 180, 179, 155, 147, 129, 175,   8
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   1,   2,   1,   0, 119, 198, 183, 185, 170, 185, 172, 170, 170, 146,   2
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   2,   3,   0,   0, 175, 208, 176, 212, 180, 174, 166, 164, 164, 144,   0
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   2,   0,   0,  73, 255, 192, 134, 175, 183, 192, 184, 189, 179, 193,   0
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   2,   1,   0,   0,  70, 192, 170, 134, 189, 192, 175, 157, 156, 171, 149, 180,   8
 0,   0,   0,   1,   0,   0,   0,   0,   0,   1,   3,   1,   0,  35,  99, 181, 183, 126, 175, 197, 208, 203, 197, 188, 175, 158, 187,  14
 1,   1,   0,   0,   1,   1,   1,   1,   2,   2,   0,   0,  70, 188, 188, 116, 131, 180, 202, 190, 181, 188, 187, 175, 167, 156, 199,  34
 0,   0,   3,   3,   2,   0,   0,   0,   0,   0,   3,  69, 179, 106, 134, 151, 187, 183, 178, 171, 169, 187, 187, 183, 188, 167, 210,  53
 0,   0,   0,   0,   0,   0,   1,  11,  19,  57, 114, 130, 125, 129, 160, 174, 178, 184, 185, 196, 197, 198, 192, 188, 189, 166, 211,  52
 7,   0,  29,  87,  88, 105, 101,  99, 108, 110, 110, 137, 155, 166, 174, 179, 174, 176, 180, 181, 181, 180, 180, 184, 174, 169, 211,  66
 0,  19, 143, 119, 115, 116, 111, 114, 119, 116, 125, 139, 147, 155, 158, 161, 170, 172, 174, 174, 179, 188, 192, 184, 170, 174, 203,  85
 0,  98, 162, 148, 146, 140, 137, 146, 147, 152, 153, 155, 158, 164, 166, 169, 171, 172, 179, 175, 176, 180, 187, 180, 180, 183, 197,  92
49, 128, 133, 162, 175, 179, 178, 165, 162, 157, 158, 165, 178, 180, 180, 187, 190, 194, 202, 207, 210, 205, 216, 217, 212, 212, 216,  94
28, 131, 138, 140, 144, 161, 171, 184, 196, 194, 194, 197, 205, 208, 206, 202, 201, 201, 197, 194, 190, 180, 175, 165, 152, 147, 157, 112
 0,   0,  48, 116, 158, 164, 151, 157, 160, 169, 172, 172, 172, 183, 185, 202, 181, 171, 152, 170, 170, 162, 167, 175, 170, 162, 157, 123
 3,   0,   0,   0,   6,  53, 105, 143, 169, 165, 185, 183, 194, 172,  69,  38,  20,   1,   0,  67, 216, 213, 202, 210, 208, 198, 192, 134
 0,   2,   2,   0,   0,   0,   0,   0,   0,   0,   0,   0,   5,   1,   0,   0,   0,   1,   0,   0,  47,  56,  48,  41,  43,  39,  35,   1
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
